Customer Code,Recency,Frequency,Monetary,Total Quantity,R_Score,F_Score,M_Score,RFM_Score_Sum,RFM_Segment,Cluster_ID,Cluster_Name
O016,20,32,5911.5,469.0,10,1,1,12,New Customers,4,Segment 3
O017,177,5,1222.2,60.0,7,1,1,9,New Customers,4,Segment 3
O018,118,4,828.3,73.0,8,1,1,10,New Customers,4,Segment 3
O019,1,21,3623.25,421.0,10,1,1,12,New Customers,4,Segment 3
O020,14,10,3492.45,200.0,10,1,1,12,New Customers,4,Segment 3
O021,122,9,4415.1,229.0,8,1,1,10,New Customers,4,Segment 3
O022,13,2,458.7,34.0,10,1,1,12,New Customers,4,Segment 3
O023,1,14,4602.3,316.0,10,1,1,12,New Customers,4,Segment 3
O024,29,3,330.9,23.0,10,1,1,12,New Customers,4,Segment 3
O025,5,6,2316.6,156.0,10,1,1,12,New Customers,4,Segment 3
P001,357,23,7322.400000000001,1080.0,4,1,1,6,New Customers,4,Segment 3
P004,496,7,820.8000000000001,304.0,2,1,1,4,Lost Customers,4,Segment 3
P005,3,40,7654.5,591.0,10,1,1,12,New Customers,4,Segment 3
P006,8,47,7366.2,567.0,10,1,1,12,New Customers,4,Segment 3
P007,40,25,5872.5,304.0,10,1,1,12,New Customers,4,Segment 3
P008,355,26,8907.300000000001,1656.0,4,1,1,6,New Customers,4,Segment 3
P009,2,25,72360.0,6000.0,10,1,1,12,New Customers,4,Segment 3
P010,2,77,14367.6,1181.0,10,1,1,12,New Customers,4,Segment 3
P013,2,1075,402013.35,31773.0,10,2,1,13,New Customers,5,Sub-Segment 1
P014,9,68,17578.8,864.0,10,1,1,12,New Customers,4,Segment 3
P016,464,33,18000.9,1062.0,3,1,1,5,Lost Customers,4,Segment 3
P017,279,12,1468.8,288.0,6,1,1,8,New Customers,4,Segment 3
P018,2,60,23776.95,2480.0,10,1,1,12,New Customers,4,Segment 3
P019,286,12,3106.2,230.0,6,1,1,8,New Customers,4,Segment 3
P020,83,3,1208.1,104.0,9,1,1,11,New Customers,4,Segment 3
P021,13,61,28283.25,3033.0,10,1,1,12,New Customers,4,Segment 3
P022,8,29,7801.8,484.0,10,1,1,12,New Customers,4,Segment 3
P024,567,1,513.6,46.0,1,1,1,3,Lost Customers,4,Segment 3
P025,553,1,189.0,18.0,1,1,1,3,Lost Customers,4,Segment 3
P027,2,92,22835.4,1120.0,10,1,1,12,New Customers,4,Segment 3
P028,266,2,359.1,19.0,6,1,1,8,New Customers,4,Segment 3
P029,255,1,202.95,15.0,6,1,1,8,New Customers,4,Segment 3
P030,8,11,2135.85,170.0,10,1,1,12,New Customers,4,Segment 3
P031,113,5,1926.6,113.0,9,1,1,11,New Customers,4,Segment 3
P032,2,3,750.15,39.0,10,1,1,12,New Customers,4,Segment 3
P033,1,694,206967.3,13476.0,10,1,1,12,New Customers,4,Segment 3
P034,121,4,702.0,40.0,8,1,1,10,New Customers,4,Segment 3
P035,163,1,1152.0,60.0,8,1,1,10,New Customers,4,Segment 3
P036,14,13,2412.2999999999997,187.0,10,1,1,12,New Customers,4,Segment 3
P037,36,2,708.6,48.0,10,1,1,12,New Customers,4,Segment 3
P039,12,4,603.0,48.0,10,1,1,12,New Customers,4,Segment 3
Q001,2,136,38791.8,1908.0,10,1,1,12,New Customers,4,Segment 3
Q002,6,27,6395.55,501.0,10,1,1,12,New Customers,4,Segment 3
Q003,1,83,87352.35,10804.0,10,1,1,12,New Customers,4,Segment 3
Q004,14,29,241554.0,8202.0,10,1,1,12,New Customers,4,Segment 3
Q005,303,1,138.6,12.0,5,1,1,7,New Customers,4,Segment 3
Q006,51,4,1948.5,120.0,10,1,1,12,New Customers,4,Segment 3
R001,7,80,19936.35,1219.0,10,1,1,12,New Customers,4,Segment 3
R002,1,235,1585594.68,164998.0,10,1,2,13,New Customers,6,Sub-Segment 2
R005,8,33,12432.9,824.0,10,1,1,12,New Customers,4,Segment 3
R006,3,67,77732.4,5548.0,10,1,1,12,New Customers,4,Segment 3
R007,21,50,21647.1,1531.0,10,1,1,12,New Customers,4,Segment 3
R009,492,1,155.7,30.0,2,1,1,4,Lost Customers,4,Segment 3
R010,1,890,707828.7,53706.0,10,1,1,12,New Customers,5,Sub-Segment 1
R011,13,60,14560.8,1133.0,10,1,1,12,New Customers,4,Segment 3
R012,495,1,259.2,36.0,2,1,1,4,Lost Customers,4,Segment 3
R013,6,3,1012.2,46.0,10,1,1,12,New Customers,4,Segment 3
R014,9,2,749.7,42.0,10,1,1,12,New Customers,4,Segment 3
R015,184,6,1218.45,63.0,7,1,1,9,New Customers,4,Segment 3
R016,370,9,4963.5,366.0,4,1,1,6,New Customers,4,Segment 3
R017,2,30,6391.2,476.0,10,1,1,12,New Customers,4,Segment 3
R018,15,3,601.2,41.0,10,1,1,12,New Customers,4,Segment 3
R019,13,2,456.9,34.0,10,1,1,12,New Customers,4,Segment 3
R020,2,4,928.8,72.0,10,1,1,12,New Customers,4,Segment 3
S001,113,118,24624.0,4320.0,9,1,1,11,New Customers,4,Segment 3
S002,345,126,29911.8,2146.0,5,1,1,7,New Customers,4,Segment 3
S004,7,18,4708.2,710.0,10,1,1,12,New Customers,4,Segment 3
S005,2,76,2251414.5,183514.0,10,1,2,13,New Customers,6,Sub-Segment 2
S006,400,17,6331.5,486.0,4,1,1,6,New Customers,4,Segment 3
S007,6,419,138842.7,29992.0,10,1,1,12,New Customers,4,Segment 3
